Title,Type,Description,Image,Youtube,Genre,Rating,Year,Director,Seasons,Episodes,Episode Length
Housebound,Movie,"A girl is put under house arrest in her family home, but it seems like the house might be haunted...",http://www.splatsofblood.com/wp-content/uploads/2015/06/Housebound-Poster.jpg,https://www.youtube.com/watch?v=ji8Tsuj3u0c,"Comedy, Horror, Thriller",Unrated,2014,Gerard Johnstone,,,
Hanna,Movie,A young girl is raised as an assassin.,http://www.awardsdaily.com/wp-content/uploads/2011/02/hannah-poster-2.jpg,https://www.youtube.com/watch?v=Dj6zCJyTq2I,"Action, Adventure, Thriller",PG-13,2011,Joe Wright,,,
Pacific Rim,Movie,Giant mechas fighting giant kaijus. Fuck yeah!,http://www.impawards.com/2013/posters/pacific_rim_ver3.jpg,https://www.youtube.com/watch?v=-hNVKNFsyu0,"Action, Adventure, Sci-Fi",PG-13,2013,Gullermo del Toro,,,
Being John Malkovich,Movie,A man discovers a portal into a famous actor's mind.,https://upload.wikimedia.org/wikipedia/en/5/55/Being_John_Malkovich_poster.jpg,https://www.youtube.com/watch?v=2UuRFr0GnHM,"Comedy, Drama, Fantasy",R,1999,Spike Jonze,,,
The Duke of Burgundy,Movie,Two women have a very unusual relationship.,http://2.bp.blogspot.com/-MkeBcB7LQVI/Un0I5Xe4y5I/AAAAAAAAAxM/sju1L8-Cipo/s1600/DOB_FINAL.jpg,https://www.youtube.com/watch?v=P-xIMBnclyA,Drama,Unrated,2015,Peter Strickland,,,
Limitless,Movie,A new drug allows a writer complete access to all of his brain's potential.,http://moviewallpaperpics.com/wp-content/uploads/2015/04/Limitless-Movie-1.jpg,https://www.youtube.com/watch?v=jOLqNOfzus4,"Mystery, Sci-Fi, Thriller",PG-13,2011,Neil Burger,,,
Dark Matter,TV Show,The six-person crew of a derelict spaceship awakens from stasis in the farthest reaches of space.,http://sharingseries.com/wp-content/uploads/2015/05/Dark-Matter-poster-SyFy-season-1-2015.jpg,https://www.youtube.com/watch?v=1TqwBlTQfTg,"Drama, Sci-Fi, Thriller",,,,1,13,45 min
American Horror Story,TV Show,"An anthology series that centers on different characters and locations, including a haunted house, an insane asylum, a witch coven, a freak show, and a mysterious hotel.",https://tomstone13.files.wordpress.com/2014/03/american-horror-story-poster-825.jpg,https://www.youtube.com/watch?v=2cFhUp_2N00,"Drama, Horror, Thriller",,,,5,65,45 min
The Life of Mammals,TV Show,David Attenborough's comprehensive study of how a remarkable group of animals evolved - a group that includes ourselves.,https://upload.wikimedia.org/wikipedia/en/6/66/Attlom.jpg,https://www.youtube.com/watch?v=j9LpLsRW_sc,Documentary,,,,1,10,50 min
Continuum,TV Show,A detective from the year 2077 finds herself trapped in present day Vancouver and searching for ruthless criminals from the future.,https://upload.wikimedia.org/wikipedia/en/a/a9/Continuum_season_2_boxset.png.jpg,https://www.youtube.com/watch?v=GY2jOx3bwF0,"Action, Sci-Fi, Thriller",,,,4,62,45 min
Daredevil,TV Show,"A blind lawyer, with his other senses superhumanly enhanced, fights crime as a costumed superhero.",http://ia.media-imdb.com/images/M/MV5BMTgyMjU0Mzg5Nl5BMl5BanBnXkFtZTgwMTg3MDYyNTE@._V1_SX640_SY720_.jpg,https://www.youtube.com/watch?v=jAy6NJ_D5vU,"Action, Crime, Drama",,,,1,13,60 min
Master of None,TV Show,"The personal and professional life of Dev, a 30-year-old actor in New York.",http://ia.media-imdb.com/images/M/MV5BMjI1MDgyMTMwMF5BMl5BanBnXkFtZTgwMDU5MzAxNzE@._V1_SX214_AL_.jpg,https://www.youtube.com/watch?v=6bFvb3WKISk,Comedy,,,,1,10,30 min
